address,balance_wei,balance_ether,transaction_count,is_contract,total_transactions,sent_transactions,received_transactions,unique_sent_to_addresses,unique_received_from_addresses,total_ether_sent,total_ether_received,avg_value_sent,avg_value_received,max_value_sent,max_value_received,min_value_sent,min_value_received,time_diff_first_last_txn_mins,number_of_created_contracts,avg_min_between_sent_txn
0xd2****919c,0,0.0,1,True,44,0,43,0,3,0.0,0.24,0.0,0.0055813953488372,0.0,0.12,0.0,0.0,32476.3,0,0.0
0xd4****689f,0,0.0,1,True,13,0,12,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1832.4666666666667,0,0.0
0xd5****c3f1,0,0.0,1,True,16,0,15,0,3,0.0,0.12,0.0,0.008,0.0,0.12,0.0,0.0,1375.3,0,0.0
0xd7****0b28,0,0.0,1,True,27,0,26,0,6,0.0,0.48,0.0,0.0184615384615384,0.0,0.12,0.0,0.0,1541.0,0,0.0
0xda****e7cd,0,0.0,1,True,24,0,23,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.1666666666666,0,0.0
0xda****c442,0,0.0,1,True,4,0,3,0,3,0.0,0.12,0.0,0.04,0.0,0.12,0.0,0.0,42929.2,0,0.0
0xdc****fac2,0,0.0,1,True,10,0,9,0,3,0.0,0.12,0.0,0.0133333333333333,0.0,0.12,0.0,0.0,194.91666666666663,0,0.0
0xdd****da51,0,0.0,1,True,36,0,35,0,8,0.0,0.84,0.0,0.024,0.0,0.24,0.0,0.0,46029.73333333333,0,0.0
0xe0****a491,0,0.0,1,True,36,0,35,0,4,0.0,2.64,0.0,0.0754285714285714,0.0,2.4,0.0,0.0,3764.0833333333335,0,0.0
0xe0****1d99,0,0.0,1,True,86,0,85,0,4,0.0,0.36,0.0,0.004235294117647,0.0,0.12,0.0,0.0,4544.4,0,0.0
0xe1****c459,0,0.0,1,True,21,0,20,0,4,0.0,0.24,0.0,0.012,0.0,0.12,0.0,0.0,3785.1,0,0.0
0xe5****9ba7,0,0.0,1,True,21,0,20,0,4,0.0,0.6,0.0,0.03,0.0,0.6,0.0,0.0,617.9666666666667,0,0.0
0xea****e641,0,0.0,1,True,59,0,58,0,5,0.0,0.84,0.0,0.0144827586206896,0.0,0.6,0.0,0.0,26143.85,0,0.0
0xed****e70f,0,0.0,1,True,15,0,14,0,3,0.0,0.12,0.0,0.0085714285714285,0.0,0.12,0.0,0.0,983.1833333333332,0,0.0
0xf0****3c99,0,0.0,1,True,25,0,24,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.95,0,0.0
0xf1****686d,0,0.0,1,True,202,0,201,0,20,0.0,4.5600000000000005,0.0,0.0226865671641791,0.0,0.6,0.0,0.0,17281.05,0,0.0
0xf2****821b,0,0.0,1,True,17,0,16,0,3,0.0,0.12,0.0,0.0075,0.0,0.12,0.0,0.0,809.75,0,0.0
0xf3****5d43,0,0.0,1,True,9,0,8,0,3,0.0,0.12,0.0,0.015,0.0,0.12,0.0,0.0,24482.016666666663,0,0.0
0xf4****46c4,0,0.0,1,True,73,0,72,0,7,0.0,0.96,0.0,0.0133333333333333,0.0,0.6,0.0,0.0,3100.266666666667,0,0.0
0xf5****09df,0,0.0,1,True,5,0,4,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.56666666666666,0,0.0
0xfb****3c4e,0,0.0,1,True,100,0,99,0,4,0.0,0.6,0.0,0.006060606060606,0.0,0.36,0.0,0.0,4136.316666666667,0,0.0
0xfb****6cda,0,0.0,1,True,17,0,16,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.3,0,0.0
0xfc****0ceb,0,0.0,1,True,11,0,9,0,4,0.0,0.72,0.0,0.08,0.0,0.6,0.0,0.0,248.46666666666667,0,0.0
0x0d****7000,0,0.0,1,True,455,0,380,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085293.8,0,0.0
0x5d****0a81,0,0.0,1,True,16,0,15,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399.4,0,0.0
0x7a****cf57,0,0.0,1,True,209,0,175,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0,0.0
0x95****349b,0,0.0,1,True,97,0,83,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,0,0.0
0xbf****b7aa,0,0.0,1,True,46,0,40,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10136.0,0,0.0
0xc1****776c,0,0.0,1,True,114,0,111,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734517.8,0,0.0
0x23****e6fa,0,0.0,1,True,2,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0,0.0
0x4a****cc7b,0,0.0,1,True,119,0,102,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.2,0,0.0
0x68****8bba,0,0.0,1,True,104,0,100,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.2,0,0.0
0xab****bd53,0,0.0,1,True,44,0,27,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,0,0.0
0xc4****3229,0,0.0,1,True,46,0,42,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155537.4,0,0.0
0xdc****0a00,0,0.0,1,True,155,0,129,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331555.0,0,0.0
0xe3****c5ec,0,0.0,1,True,9,0,8,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0,0.0
0xe8****a73a,0,0.0,1,True,127,0,116,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018274.2,0,0.0
0x64****0d3e,0,0.0,1,True,96,0,87,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2,0,0.0
0x95****35f5,0,0.0,1,True,25,0,23,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0,0.0
0x61****ea20,0,0.0,1,True,28,0,27,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.383333333333334,0,0.0
0x70****d706,0,0.0,1,True,9,0,7,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9666666666666663,0,0.0
0x99****4377,0,0.0,1,True,32,0,29,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298266.56666666665,0,0.0
0xfd****c362,0,0.0,1,True,28,0,27,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,0,0.0
0x98****b7a8,0,0.0,1,True,3,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10078.083333333334,0,0.0
0xb2****8b91,0,0.0,1,True,151,0,119,0,87,0.0,1e-06,0.0,8.403361344537815e-09,0.0,1e-06,0.0,0.0,67995.0,0,0.0
